English,Bangali
red,লাল
past,অতীত
earth,পৃথিবী
possible,সম্ভব
shoot,শট
touch,স্পর্শ
sound,সাউন্ড
top,উপরে
ass,গাধা
laughs,হাসি
cannot,না পারেন
asking,জিজ্ঞাসা
win,জয়
glad,খুশি
control,নিয়ন্ত্রণ নিয়ন্ত্রণ
hmm,হুম
human,মানবসম্পদ
drive,ড্রাইভ
hair,চুল
jack,জ্যাক
bitch,দুশ্চরিত্রা
luck,ভাগ্য
murder,হত্যা
happens,ঘটে
air,এয়ার
ten,দশ
daddy,বাবা
finally,অবশেষে
chuckles,মুচকি হাসি
fast,দ্রুত
cold,ঠান্ডা
seem,মনে হচ্ছে
laughing,হাস্যময়
words,শব্দগুলি
hospital,হাসপাতাল
street,রাস্তায়
hang,Hang
dance,নাচ
meeting,সভা
till,পর্যন্ত পর্যন্ত
others,অন্যান্য
catch,ক্যাচ
follow,অনুসরণ করুন
sense,ইন্দ্রিয়
sex,লিঙ্গ
lie,মিথ্যা
evening,সন্ধ্যা
master,মাস্টার
known,পরিচিত
dream,স্বপ্ন
write,লিখুন
million,মিলিয়ন
voice,কণ্ঠস্বর
sweet,মিষ্টি
rather,বরং
felt,অনুভূত
sign,চিহ্ন
lucky,ভাগ্যবান
somewhere,কোথাও
bet,বাজি
jesus,যীশু
longer,আর
calling,কলিং
worked,কাজ করছে
quiet,শান্ত
looked,লাগলো
less,কম
pull,টান
beat,বিট
careful,সাবধান
coffee,কফি
return,ফিরে আসা
secret,গোপনীয়তা
weeks,সপ্তাহ
weren,ছিল না
date,তারিখ
seeing,দেখছি
fall,পতন
given,দেওয়া
ooh,ওহ
fault,দোষারোপ
straight,সরাসরি
takes,লাগে
song,গান
future,ভবিষ্যতে
gentlemen,জেন্টলম্যান
loved,পছন্দসই
changed,পরিবর্তিত
road,রাস্তা
calm,শান্ত
wonderful,বিস্ময়কর
mad,ম্যাড
turned,পরিণত
drop,ড্রপ
ladies,মহিলা
learn,শিখুন
step,পদক্ষেপ
absolutely,একেবারে
early,প্রথম দিকে
explain,ব্যাখ্যা করা
clean,পরিষ্কার করুন
piece,টুকরা
yesterday,গতকাল
throw,নিক্ষেপ করা
picture,ছবিটি
land,জমি
feet,পা দুটো
wonder,আশ্চর্য
speaking,কথা বলা
worth,মূল্যবান
darling,ডার্লিং
dude,শহরবাসী
giving,প্রদান করা
president,রাষ্ট্রপতি
eye,চোখ
quick,দ্রুত
moving,চলন্ত
figure,চিত্র
state,অবস্থা
strong,শক্তিশালী
sam,স্যাম
none,কেউ না
amazing,আশ্চর্যজনক
ones,বেশী
works,কাজ করে
act,আইন
needed,প্রয়োজন
weird,অদ্ভুত
law,আইন
worried,চিন্তিত
report,রিপোর্ট
goodbye,বিদায়
missing,অনুপস্থিত
choice,পছন্দ
happening,ঘটছে
chief,প্রধানমন্ত্রী
wedding,বিবাহ
strange,অদ্ভুত
general,সাধারণ
pain,ব্যথা
am,আমি
kidding,দুষ্টুমি
decided,নির্ধারিত
ya,ইয়া
pass,পাস
tired,ক্লান্ত
class,ক্লাস
officer,কর্মকর্তা
kept,রাখা
wake,জেগে উঠুন
worse,খারাপ
busy,ব্যস্ত
eh,আহা
mistake,ভুল
kiss,কিস
court,আদালত
building,বিল্ডিং
finish,শেষ পর্যন্ত
during,সময়
age,বয়স
ship,জাহাজ
caught,ধরা
marry,বিবাহ করা
meant,বোঝানো হয়
sell,বিক্রয়
dark,অন্ধকার
watching,পর্যবেক্ষক
system,পদ্ধতি
suppose,ধরুন
evidence,প্রমান
movie,সিনেমা
ride,যাত্রা
completely,সম্পূর্ণরূপে
mouth,মুখ
totally,সম্পূর্ণরূপে
birthday,জন্মদিন
tv,টেলিভিশন
forgive,ক্ষমা করুন
born,জন্মদিনে
imagine,কল্পনা করুন
information,তথ্য
instead,পরিবর্তে
definitely,স্পষ্টভাবে
security,নিরাপত্তা
certainly,নিশ্চয়ই
film,চলচ্চিত্র
month,মাস
lying,মিথ্যা বলছে
unless,যদি না
train,ট্রেন
seven,সাত
wear,পরিধান করুন
clothes,বস্ত্র
michael,মাইকেল
hotel,হোটেল
christmas,ক্রিসমাস
attack,আক্রমণ
hasn,হ্যাশ
round,রাউন্ড
expect,আশা করি
sing,গাই
terrible,ভয়ানক
george,জর্জ
bag,থলে
history,ইতিহাস
blue,নীল
near,কাছাকাছি
broke,ভাঙ্গা
station,স্টেশন
seriously,গুরুত্ব সহকারে
forever,চিরতরে
david,ডেভিড
frank,ফ্রাঙ্ক
except,ছাড়া
thinks,মনে হয়
message,বার্তা
entire,সম্পূর্ণ
joe,জো
table,টেবিল
talked,বললাম
across,জুড়ে
rock,রক
lovely,সুন্দর
handle,হাতল
middle,মাঝখানে
buddy,বন্ধু
paid,প্রদত্ত
protect,রক্ষা করুন
using,ব্যবহার
floor,মেঝে
ran,রণ
swear,শপথ
spend,ব্যয় করা
situation,অবস্থা
ring,রিং
anywhere,যে কোন জায়গায়
dangerous,বিপজ্জনক
bill,বিল
york,ইয়র্ক
army,সেনাবাহিনী
lead,নেতৃত্ব
bought,কিনলেন
finished,সমাপ্তি
fair,ফেয়ার
sun,সূর্য
letter,চিঠি
fool,মূর্খ
attention,মনোযোগ
club,ক্লাব
simple,সহজ
interesting,মজাদার
space,স্থান
test,টেস্ট
box,বক্স
group,গ্রুপ
single,একক
sitting,বসা
marriage,বিয়ে
join,যোগ দিন
fear,ভয়
peace,শান্তি
forgot,ভুলে গেছেন
force,বল
short,সংক্ষিপ্ত
normal,স্বাভাবিক
charlie,চার্লি
present,বর্তমান
enjoy,উপভোগ করুন
mike,মাইক
crime,অপরাধ
horse,ঘোড়া
ground,স্থল
american,মার্কিন
count,গণনা করা
area,এলাকা
charge,চার্জ
honor,সম্মান
lunch,মধ্যাহ্নভোজ
miles,মাইলস
radio,রেডিও
idiot,নির্বোধ
ball,বল
surprise,আশ্চর্য
paper,কাগজ
key,চাবি
boat,নৌকা
quickly,দ্রুত
gold,সোনা
bar,বার
fish,মাছ
mark,মার্ক
tom,টম
wearing,পরাস্ত
crying,ক্রন্দিত
accident,দুর্ঘটনা
government,সরকার
eight,আট
fell,পতিত হয়
cover,আবরণ
certain,নিশ্চিত
interested,আগ্রহী
deep,গভীর
star,স্টার
sea,সমুদ্র
agree,একমত
problems,সমস্যা
detective,গোয়েন্দা
prison,কারাগার
major,মেজর
stick,লাঠি
offer,অফার
difficult,কঠিন
smart,স্মার্ট
personal,ব্যক্তিগত
record,রেকর্ড
stopped,বন্ধ
hide,লুকান
whether,কিনা
bank,ব্যাংক
trip,ট্রিপ
relax,শিথিল
america,আমেরিকা
public,পাবলিক
list,তালিকা
afternoon,বিকেল
brain,মস্তিষ্ক
fix,ঠিক আছে
bastard,বেয়াদব
proud,গর্বিত
tea,চা
service,সেবা
screaming,চিৎকার করা
forward,এগিয়ে
angry,রাগান্বিত
park,পার্ক
soul,আত্মা
fighting,যুদ্ধ
peter,পিটার
rich,সমৃদ্ধ
agent,প্রতিনিধি
blow,ঘা
paul,পল
dress,পোষাক
mary,মেরি
missed,মিসড
scene,দৃশ্য
killing,হত্যা
standing,স্থায়ী
saved,সংরক্ষিত
respect,সম্মান
killer,হত্যাকারী
ice,বরফ
mess,জগাখিচুড়ি
tough,শক্ত
feels,মনে হয়
church,চার্চ
sad,দু:খিত
cell,কোষ
drunk,মাতাল
share,শেয়ার করুন
camera,ক্যামেরা
mm-hmm,এমএম-হুম
within,মধ্যে
card,কার্ড
fly,ফ্লাই
ben,বেন
girlfriend,বান্ধবী
laugh,হাসি
smell,ঘ্রাণ
broken,ভাঙা
mum,মম
honest,সৎ
often,প্রায়ই
starting,শুরুতে
calls,কল
spent,ব্যয় করা হয়েছে
third,তৃতীয়
english,ইংরেজি
visit,পরিদর্শন করুন
mama,মামা
judge,বিচারক
window,জানলা
hungry,ক্ষুধার্ত
dare,সাহস
relationship,সম্পর্ক
moved,সরানো
prove,প্রমাণ করুন
private,ব্যক্তিগত
wall,ওয়াল
seat,সিট
position,অবস্থান
lieutenant,প্রতিনিধি
realize,বুঝতে
especially,বিশেষ করে
machine,মেশিন
walking,হাঁটা
art,শিল্প
pleasure,পরিতোষ
bloody,রক্তাক্ত
college,কলেজ
french,ফরাসি
involved,জড়িত
cry,ক্রি
became,হয়ে ওঠে
lived,বসবাস করতেন
impossible,অসম্ভব
obviously,অবশ্যই
neither,না
accept,গ্রহণ করুন
boyfriend,প্রেমিক
besides,পাশাপাশি
queen,রাণী
teacher,শিক্ষক
cops,পুলিশ
sake,Sake
loves,ভালবাসে
carry,বহন করে
teach,শেখা
apartment,অ্যাপার্টমেন্ট
upset,মর্মাহত
green,সবুজ
liked,পছন্দসই
cute,সুন্দর
evil,মন্দ
professor,অধ্যাপক ড
contact,যোগাযোগ করুন
joke,কৌতুক
cop,পুলিশ
huge,বিশাল
holy,পবিত্র
store,দোকান
jail,জেল
likes,পছন্দসমূহ
lawyer,আইনজীবী
doubt,সন্দেহ
continue,চালিয়ে যান
appreciate,কৃতজ্ঞ
cat,বিড়াল
shop,দোকান
driving,পরিচালনা
congratulations,অভিনন্দন
wrote,লিখেছেন
village,গ্রাম্য
quit,প্রস্থান করুন
field,মাঠ
james,জেমস
wine,মদ
decision,সিদ্ধান্ত
south,সাউথ
sleeping,ঘুমন্ত
slow,ধীর গতিতে
laughter,হাসি
island,দ্বীপ
glass,কাচ
beginning,শুরুতে
cash,নগদ
dying,মরণ
hundred,শত শত
whose,যাদের
difference,পার্থক্য
plane,সমতল
push,ধাক্কা
continues,চলতে থাকি
mmm,Mmm
singing,গান গাওয়া
eating,খাওয়া
north,উত্তর
mrs,জনাবা
tree,গাছ
madam,ম্যাডাম
gift,উপহার
truck,ট্রাক
putting,বসানো
bear,সহ্য করা
board,বোর্ড
grab,দখল
beer,বিয়ার
stuck,আটকে পড়া
magic,যাদু
support,সাপোর্ট
rules,নিয়মাবলী
grunts,Grunts
partner,অংশীদার
reach,পৌঁছানো
wind,বায়ু
colonel,কর্নেল
max,সর্বোচ্চ
immediately,অবিলম্বে
seconds,সেকেন্ড
thousand,হাজার হাজার
gives,দেয়
experience,অভিজ্ঞতা
cheers,উল্লাস
victim,শিকার
upon,উপর
computer,কম্পিউটার
christ,খ্রীষ্টের
planet,প্ল্যানেট
promised,প্রতিশ্রুতিবদ্ধ
bus,বাস
henry,হেনরি
dirty,নোংরা
search,অনুসন্ধান করুন
staying,থাকার
dreams,স্বপ্ন
arrest,গ্রেফতার
holding,অধিষ্ঠিত
suddenly,হঠাৎ
usually,সাধারণত
lots,অনেকগুলো
shoes,জুতা
jump,ঝাঁপ দাও
rid,পরিত্রাণ
knock,ঠক্ঠক্
owe,ঋণী
grow,হত্তয়া
worst,সবচেয়ে খারাপ
river,নদী
aunt,মাসিমা
patient,রোগী
kitchen,রান্নাঘর
aah,আহা
fat,চর্বি
passed,পাস
final,চূড়ান্ত
summer,গ্রীষ্ম
listening,শোনার জন্য
escape,পালিয়ে যাওয়া
everywhere,সর্বত্র
moon,চাঁদ
arms,অস্ত্র
turns,পালা
address,ঠিকানা
ow,ow
match,ম্যাচ
gasps,Gasps
grand,গ্র্যান্ড
yep,হ্যাঁ
shh,শাহ
nervous,স্নায়বিক
choose,পছন্দ করা
themselves,নিজেদের
decide,সিদ্ধান্ত নিন
mate,সঙ্গী
drinking,পানীয়
press,প্রেস
bother,বিরক্ত করুন
foot,পা
hadn,হাং
blame,দোষারোপ
crap,বিষ্ঠা
drugs,ওষুধের
type,টাইপ
rings,রিং
mission,মিশন
named,নামকরণ
heaven,স্বর্গ
picked,বাছাই করা
paris,প্যারিস
race,জাতি
risk,ঝুঁকি
books,বই
further,আরও
danny,ড্যানি
action,কর্ম
allowed,অনুমোদিত
orders,আদেশ
learned,শিখেছি
price,মূল্যঃ
arrived,আগত
nick,নিক
otherwise,অন্যথায়
pictures,ছবিগুলো
fit,উপযুক্ত
smoke,ধূমপান
favor,আনুকূল্য
played,অভিনয়
notice,নোটিশ
awesome,অসাধারণ
smile,হাসি
director,পরিচালক
guard,গার্ড
begin,শুরু করুন
spot,স্পট
surprised,বিস্মিত
innocent,নির্দোষ
narrator,বর্ণনাকারী
herself,নিজেকে
london,লন্ডন
feelings,অনুভূতি
enemy,শত্রু
battle,যুদ্ধ
ourselves,নিজেদের
alex,অ্যালেক্স
dollars,ডলার
allow,অনুমতি দিন
nine,নয়টি
gay,গে
department,বিভাগ
guilty,দোষী সাব্যস্ত
apart,পৃথক্
earlier,আগে
duty,কর্তব্য
jim,জিম
suit,মামলাটি
bell,ঘণ্টা
west,পশ্চিম
legs,পাগুলো
hero,হিরো
destroy,ধ্বংস
stage,পর্যায়
bunch,গুচ্ছ
according,অনুসারে
chicken,মুরগি
bigger,বড়
grunting,Grunting
low,কম
helping,সাহায্য করার জন্য
admit,স্বীকারোক্তি
closed,বন্ধ
names,নামগুলো
witness,সাক্ষী
upstairs,উপরে
arm,বাহু
steal,চুরি
jimmy,জিমি
kick,কিক
twice,দুইবার
cross,ক্রস
ways,উপায়
sergeant,সার্জেন্ট
indeed,প্রকৃতপক্ষে
gas,গ্যাস
keeping,রক্ষণাবেক্ষণ
energy,শক্তি
pregnant,গর্ভবতী
waste,বর্জ্য
helped,সাহায্য
fired,বহিস্কার
favorite,প্রিয়
tony,টনি
taste,স্বাদ
locked,লক
places,জায়গা
writing,লিখুন
adam,অ্যাডাম
brothers,ভাই
starts,শুরু হয়
prince,রাজপুত্র
form,ফর্ম
sold,বিক্রি
silly,নির্বোধ
mention,উল্লেখ করুন
build,তৈরি করুন
throat,গলা
hole,গর্ত
figured,figured
track,ট্র্যাক
ringing,বাজানো
lock,লক
leg,পা
above,উপরে
hiding,লুকানো
steve,স্টিভ
seemed,মনে হচ্ছে
breakfast,ব্রেকফাস্ট
engine,ইঞ্জিন
written,লিখিত
complete,সম্পূর্ণ
video,ভিডিও
applause,হাততালি
however,যাহোক
pressure,চাপ
fresh,তাজা
weapon,অস্ত্রোপচার
sky,আকাশ
ms,মাইক্রোসফট
stole,চুরি
study,অধ্যয়ন
burn,পোড়া
reading,পড়া
crowd,ভিড়
treat,চিকিত্সা
roll,রোল
double,ডাবল
spirit,আত্মা
danger,বিপদ
cost,খরচ
empty,খালি
level,স্তর
memory,স্মৃতি
itself,নিজেই
acting,অভিনয়
interest,স্বার্থ
nose,নাক
plans,পরিকল্পনা সমূহ
following,নিম্নলিখিত
bathroom,পায়খানা
built,নির্মিত
closer,কাছাকাছি
ray,রশ্মি
sarah,সারাহ
band,ব্যান্ড
groans,আর্তনাদ
apparently,দৃশ্যত
excited,উত্তেজিত
richard,রিচার্ড
losing,হারানো
animals,প্রাণী
flight,ফ্লাইট
nature,প্রকৃতি
raise,উত্থাপন করা
pop,পপ
client,ক্লায়েন্ট
bomb,বোমা
neck,ঘাড়
suspect,সন্দেহভাজন
warm,উষ্ণ
extra,অতিরিক্ত
bottle,বোতল
van,ভ্যান
heavy,ভারি
mommy,মায়ি
dogs,কুকুর
wild,বন্য
ridiculous,হাস্যকর
simply,কেবল
lee,লি
animal,পশু
showed,দেখানো হয়েছে
billy,বিলি
shooting,শুটিং
keeps,রাখে
camp,ক্যাম্প
guns,বন্দুক
medical,চিকিৎসা
shame,লজ্জা
hoping,আশা করি
whom,যাকে
bird,পাখি
majesty,মহিমা
flowers,ফুল
famous,বিখ্যাত
asleep,ঘুমন্ত
beauty,সৌন্দর্য
driver,চালক
keys,কী
rain,বৃষ্টি
awful,"ভয়াবহ, আতঙ্কজনক"
large,বড়
local,স্থানীয়
deserve,প্রাপ্য
goddamn,Goddamn
stone,স্টোন
jane,জেন
grace,অনুগ্রহ
consider,বিবেচনা
weekend,সপ্তাহান্তে
wondering,বিস্ময়কর
lay,শুয়ে থাকা
plenty,প্রচুর পরিমাণে
willing,ইচ্ছুক
pants,প্যান্ট
sweetheart,প্রণয়ী
skin,চামড়া
excellent,চমৎকার
asshole,গাধা
beach,সৈকত
faith,বিশ্বাস
beg,অনুরোধ
responsible,দায়ী
military,সামরিক
cheering,উল্লাস
opportunity,সুযোগ
common,সাধারণ
bottom,নীচে
german,জার্মান
whoever,যে কেউ
cook,কুকি
walked,হাঁটা
papers,কাগজপত্র
justice,বিচার
hall,হল
commander,কমান্ডার
drug,ড্রাগ
main,প্রধান
knife,ছুরি
devil,শয়তান
necessary,প্রয়োজন
although,যদিও
princess,রাজকুমারী
lights,আলো
flying,উড়ন্ত
dick,ডিক
rose,রোজ
knowing,বুদ্ধিমান
clearly,পরিষ্কারভাবে
hat,হ্যাট
agreed,সম্মত
johnny,জনি
corner,Corner
code,কোড
note,বিঃদ্রঃ
due,বাকি
correct,সঠিক
apologize,ক্ষমাপ্রার্থী
language,ভাষা
stars,তারা
faster,দ্রুত
cars,গাড়ি
folks,লোকেরা
bullshit,বাজে কথা
fellow,সহকর্মী
several,বেশ কয়েকটি
grandma,ঠাকুমা
shows,শো
leader,নেতা
leaves,পাতা
restaurant,রেঁস্তোরা
east,পূর্বাহ্নে
shouting,চিৎকার করে উঠলো
blind,অন্ধ
ghost,প্রেতাত্মা
cup,কাপ
gotten,অর্জিত
tight,টাইট
conversation,কথোপকথন
tells,বলে
lies,মিথ্যা
nor,না
pulled,টানা
hanging,ঝুলন্ত
speed,দ্রুততা
stories,গল্পসমূহ
